Open,High,Low,Close,Volume,Average,BarCount,HoldingGrossReturn,Date,Orders,60PeriodSMA
101.25,101.27864864864867,101.24324324324321,101.26594594594599,604.7567567567568,101.26570100199292,302.0810810810811,1.0057774929729733,20230718  12:32:00,,
101.28000000000002,101.28000000000002,101.24342857142855,101.24885714285713,233.22857142857143,101.26499749972716,115.91428571428571,1.0057705042857144,20230718  12:33:00,,101.26116365094207
101.2292105263158,101.25368421052634,101.21052631578948,101.23184210526315,345.36842105263156,101.23240807473196,222.3684210526316,1.0054468255263158,20230718  12:34:00,,101.25336000786913
101.19999999999997,101.2173684210526,101.17315789473686,101.19973684210527,278.05263157894734,101.19623248263164,152.18421052631578,1.0050875265789476,20230718  12:35:00,,101.22361663626259
101.18047619047621,101.18999999999998,101.16666666666664,101.18095238095239,307.8333333333333,101.17953380967984,192.42857142857142,1.0049216740476192,20230718  12:36:00,,101.1944518015813
101.17000000000002,101.17000000000002,101.12840909090909,101.1415909090909,301.77272727272725,101.15316240455883,159.1818181818182,1.0046597511363637,20230718  12:37:00,,101.17198367818024
101.09999999999998,101.12410256410259,101.07384615384618,101.11358974358976,306.12820512820514,101.10568110874455,165.23076923076923,1.0041881661538459,20230718  12:38:00,,101.136827735989
101.10894736842107,101.15657894736843,101.09999999999998,101.15184210526316,409.9736842105263,101.1213133765532,210.10526315789474,1.004343424210526,20230718  12:39:00,,101.1118798152688
101.2002857142857,101.21599999999998,101.19285714285714,101.208,215.62857142857143,101.20560838402683,128.71428571428572,1.0051806477142855,20230718  12:40:00,,101.14564995182337
101.19999999999997,101.20945945945945,101.1672972972973,101.17594594594593,311.2432432432432,101.19136776059042,173.64864864864865,1.005039207837838,20230718  12:41:00,,101.1929120805456
101.16885714285715,101.16885714285715,101.12028571428573,101.14200000000002,283.57142857142856,101.14193331109216,152.65714285714284,1.0045482251428572,20230718  12:42:00,,101.17944965178135
101.12024390243903,101.16878048780488,101.11048780487805,101.13975609756099,365.3414634146341,101.13685380006193,200.85365853658536,1.0044977726829267,20230718  12:43:00,,101.14363831409085
101.13999999999999,101.14810810810813,101.12270270270271,101.13972972972972,278.5405405405405,101.13812779586988,145.2972972972973,1.0045104256756758,20230718  12:44:00,,101.13804820841773
